Player,Span,TEAM,Mat,Inns,NO,Runs,HS,Ave,BF,SR,HUND,FIFTY,DUCKS,FOURS,SIXERS
Vaibhav Sooryavanshi,2026-2026,RR,16,16,0,776,103,48.5,327,237.3,1,5,1,63,72
Shubman Gill (GT),2026-2026,GT,16,16,0,732,104,45.75,449,163.02,1,6,0,74,33
B Sai Sudharsan (GT),2026-2026,GT,17,17,1,722,100,45.12,457,157.98,1,8,1,75,30
V Kohli (RCB),2026-2026,RCB,16,16,4,675,105*,56.25,407,165.84,1,5,2,73,25
H Klaasen (SRH),2026-2026,SRH,15,15,2,624,69,48,390,160,0,6,0,48,31
Ishan Kishan (SRH),2026-2026,SRH,15,15,0,602,91,40.13,330,182.42,0,6,2,60,32
KL Rahul (DC),2026-2026,DC,14,14,1,593,152*,45.61,340,174.41,1,5,1,56,31
Abhishek Sharma (SRH),2026-2026,SRH,15,15,1,563,135*,40.21,275,204.72,1,4,3,50,43
MR Marsh (LSG),2026-2026,LSG,13,13,0,563,111,43.3,345,163.18,1,3,0,51,36
JC Buttler (GT),2026-2026,GT,17,17,3,526,60,37.57,345,152.46,0,4,0,51,26
DC Jurel (RR),2026-2026,RR,16,16,2,515,81*,36.78,333,154.65,0,6,2,47,24
Prabhsimran Singh (PBKS),2026-2026,PBKS,14,13,1,510,80*,42.5,302,168.87,0,6,1,55,23
RM Patidar (RCB),2026-2026,RCB,15,14,2,501,93*,41.75,260,192.69,0,5,0,30,42
SS Iyer (PBKS),2026-2026,PBKS,14,13,4,498,101*,55.33,295,168.81,1,5,0,39,30
CPL Connolly (PBKS),2026-2026,PBKS,14,13,2,491,107*,44.63,301,163.12,1,2,1,43,32
SV Samson (CSK),2026-2026,CSK,14,14,3,477,115*,43.36,288,165.62,2,1,1,53,24
D Padikkal (RCB),2026-2026,RCB,16,15,1,464,61,33.14,275,168.72,0,3,0,49,24
RD Rickelton (MI),2026-2026,MI,12,12,1,448,123*,40.72,240,186.66,1,2,0,31,38
YBK Jaiswal (RR),2026-2026,RR,16,16,2,427,77*,30.5,280,152.5,0,3,0,52,18
A Raghuvanshi (KKR),2026-2026,KKR,13,12,2,422,82*,42.2,288,146.52,0,5,0,40,19
TM Head (SRH),2026-2026,SRH,15,15,0,410,76,27.33,241,170.12,0,2,1,46,23
Washington Sundar (GT),2026-2026,GT,17,16,6,377,55,37.7,251,150.19,0,3,0,40,12
P Arya (PBKS),2026-2026,PBKS,13,13,0,364,93,28,172,211.62,0,3,2,27,32
NT Tilak Varma (MI),2026-2026,MI,14,14,2,359,101*,29.91,246,145.93,1,2,1,30,17
FH Allen (KKR),2026-2026,KKR,11,11,1,349,100*,34.9,163,214.11,1,1,0,33,28
RD Gaikwad (CSK),2026-2026,CSK,14,14,2,337,74*,28.08,273,123.44,0,2,0,29,12
AM Rahane (KKR),2026-2026,KKR,14,14,1,335,67,25.76,248,135.08,0,2,2,25,18
C Green (KKR),2026-2026,KKR,14,14,4,322,79,32.2,221,145.7,0,2,1,22,17
Naman Dhir (MI),2026-2026,MI,14,14,2,318,57,26.5,216,147.22,0,2,2,31,13
D Ferreira (RR),2026-2026,RR,15,13,4,317,69,35.22,177,179.09,0,2,1,25,23
RR Pant (LSG),2026-2026,LSG,14,13,2,312,68*,28.36,226,138.05,0,1,1,30,11
R Parag (RR),2026-2026,RR,14,14,1,309,90,23.76,196,157.65,0,2,0,24,21
TH David (RCB),2026-2026,RCB,16,15,6,305,70*,33.88,162,188.27,0,1,1,22,23
K Nitish Kumar Reddy (SRH),2026-2026,SRH,14,13,3,302,56,30.2,176,171.59,0,1,0,19,21
RK Singh (KKR),2026-2026,KKR,14,11,6,295,83*,59,198,148.98,0,2,1,27,11
Kartik Sharma (CSK),2026-2026,CSK,11,11,2,295,71,32.77,216,136.57,0,2,0,24,16
RG Sharma (MI),2026-2026,MI,9,9,1,283,84,35.37,180,157.22,0,2,1,21,21
P Nissanka (DC),2026-2026,DC,10,10,0,278,62,27.8,175,158.85,0,2,0,33,12
T Stubbs (DC),2026-2026,DC,14,13,5,275,60*,34.37,216,127.31,0,2,0,18,9
S Dube (CSK),2026-2026,CSK,13,12,5,270,47,38.57,170,158.82,0,0,0,24,15
SA Yadav (MI),2026-2026,MI,13,13,0,270,60,20.76,183,147.54,0,2,2,28,10
JP Inglis (LSG),2026-2026,LSG,5,5,0,266,85,53.2,143,186.01,0,3,0,32,12
RA Jadeja (RR),2026-2026,RR,14,11,7,266,45*,66.5,197,135.02,0,0,0,24,5
Sameer Rizvi (DC),2026-2026,DC,11,9,2,252,90,36,171,147.36,0,2,2,15,17
N Pooran (LSG),2026-2026,LSG,14,14,1,234,63,18,183,127.86,0,1,0,11,19
AK Markram (LSG),2026-2026,LSG,12,11,2,231,45,25.66,167,138.32,0,0,1,20,11
KH Pandya (RCB),2026-2026,RCB,16,9,3,226,73,37.66,155,145.8,0,1,0,20,11
N Rana (DC),2026-2026,DC,9,9,0,225,91,25,149,151,0,2,1,27,10
MP Stoinis (PBKS),2026-2026,PBKS,13,9,3,216,62*,36,120,180,0,1,1,23,11
A Badoni (LSG),2026-2026,LSG,10,10,0,215,54,21.5,141,152.48,0,1,3,23,9
DA Miller (DC),2026-2026,DC,11,10,4,211,51,35.16,137,154.01,0,1,1,15,14
VR Iyer (RCB),2026-2026,RCB,7,6,2,209,73*,52.25,112,186.6,0,1,0,21,13
HH Pandya (MI),2026-2026,MI,10,10,1,206,40,22.88,149,138.25,0,0,0,21,7
PD Salt (RCB),2026-2026,RCB,6,6,0,202,78,33.66,120,168.33,0,2,1,16,11
A Mhatre (CSK),2026-2026,CSK,6,6,0,201,73,33.5,113,177.87,0,2,1,20,12
R Tewatia (GT),2026-2026,GT,16,15,8,190,68,27.14,132,143.93,0,1,1,20,8
R Powell (KKR),2026-2026,KKR,11,7,2,190,40,38,141,134.75,0,0,0,16,10
AR Patel (DC),2026-2026,DC,14,11,2,173,56,19.22,132,131.06,0,1,2,16,6
AR Sharma (DC),2026-2026,DC,8,8,3,171,39,34.2,94,181.91,0,0,0,15,12
MD Choudhary (LSG),2026-2026,LSG,10,10,4,170,54*,28.33,120,141.66,0,1,0,11,12
SN Khan (CSK),2026-2026,CSK,8,7,0,161,50,23,95,169.47,0,1,1,23,6
Suryansh Shedge (PBKS),2026-2026,PBKS,7,7,3,158,57,39.5,90,175.55,0,1,0,9,12
S Arora (SRH),2026-2026,SRH,14,11,4,156,35,22.28,98,159.18,0,0,1,11,11
D Brevis (CSK),2026-2026,CSK,11,8,0,151,44,18.87,118,127.96,0,0,1,8,10
WG Jacks (MI),2026-2026,MI,7,7,2,139,46,27.8,76,182.89,0,0,0,12,9
J Overton (CSK),2026-2026,CSK,10,6,2,136,43*,34,86,158.13,0,0,0,13,6
Shashank Singh (PBKS),2026-2026,PBKS,12,9,3,132,56,22,70,188.57,0,1,1,11,8
Q de Kock (MI),2026-2026,MI,3,3,1,132,112*,66,81,162.96,1,0,0,9,9
UM Patel (CSK),2026-2026,CSK,7,7,0,129,65,18.42,64,201.56,0,1,1,6,14
SE Rutherford (MI),2026-2026,MI,8,7,2,123,71*,24.6,75,164,0,1,1,5,12
Abdul Samad (LSG),2026-2026,LSG,8,8,2,116,37*,19.33,88,131.81,0,0,1,10,5
JM Sharma (RCB),2026-2026,RCB,16,12,3,116,23,12.88,95,122.1,0,0,1,9,6
Abishek Porel (DC),2026-2026,DC,4,4,0,108,51,27,88,122.72,0,1,0,15,1
JG Bethell (RCB),2026-2026,RCB,7,7,0,96,27,13.71,77,124.67,0,0,0,12,3
Himmat Singh (LSG),2026-2026,LSG,6,5,2,92,40*,30.66,69,133.33,0,0,0,5,5
PR Veer (CSK),2026-2026,CSK,6,5,3,90,43,45,67,134.32,0,0,0,10,3
R Shepherd (RCB),2026-2026,RCB,15,7,3,83,23*,20.75,66,125.75,0,0,0,6,5
Ramandeep Singh (KKR),2026-2026,KKR,8,6,1,82,35,16.4,68,120.58,0,0,0,8,2
SB Dubey (RR),2026-2026,RR,7,6,2,81,31*,20.25,58,139.65,0,0,0,8,3
AU Verma (SRH),2026-2026,SRH,10,8,2,79,43,13.16,54,146.29,0,0,0,6,5
SO Hetmyer (RR),2026-2026,RR,8,7,1,78,22,13,69,113.04,0,0,1,5,3
MK Pandey (KKR),2026-2026,KKR,6,2,0,70,45,35,49,142.85,0,0,0,8,2
GD Phillips (GT),2026-2026,GT,6,5,1,67,25,16.75,54,124.07,0,0,0,4,2
JO Holder (GT),2026-2026,GT,11,7,2,65,23*,13,52,125,0,0,1,3,3
N Wadhera (PBKS),2026-2026,PBKS,8,6,0,65,25,10.83,57,114.03,0,0,1,4,4
JC Archer (RR),2026-2026,RR,16,10,4,64,32,10.66,47,136.17,0,0,0,4,4
MD Shanaka (RR),2026-2026,RR,7,5,0,63,29,12.6,46,136.95,0,0,0,3,4
N Sindhu (GT),2026-2026,GT,8,5,0,63,22,12.6,50,126,0,0,0,7,2
MW Short (CSK),2026-2026,CSK,3,3,0,60,34,20,51,117.64,0,0,0,6,1
A Kamboj (CSK),2026-2026,CSK,14,4,2,58,19*,29,38,152.63,0,0,0,3,4
Shahbaz Ahmed (LSG),2026-2026,LSG,5,2,2,58,43*,-,41,141.46,0,0,0,4,3
Shivang Kumar (SRH),2026-2026,SRH,13,6,0,53,27,8.83,46,115.21,0,0,0,6,1
Azmatullah Omarzai (PBKS),2026-2026,PBKS,3,2,0,52,38,26,27,192.59,0,0,0,3,5
AS Roy (KKR),2026-2026,KKR,14,7,3,52,29*,13,39,133.33,0,0,2,3,2
M Jansen (PBKS),2026-2026,PBKS,13,5,1,51,20,12.75,45,113.33,0,0,0,1,3
C Bosch (MI),2026-2026,MI,6,4,3,50,32*,50,31,161.29,0,0,0,5,2
Rashid Khan (GT),2026-2026,GT,17,6,2,50,24,12.5,41,121.95,0,0,0,4,2
K Rabada (GT),2026-2026,GT,17,4,2,47,23*,23.5,38,123.68,0,0,0,5,2
SU Parakh (DC),2026-2026,DC,4,4,0,46,24,11.5,33,139.39,0,0,1,5,2
M Shahrukh Khan (GT),2026-2026,GT,9,5,1,43,17,10.75,33,130.3,0,0,0,3,2
SP Narine (KKR),2026-2026,KKR,13,4,1,40,24,13.33,32,125,0,0,1,2,4
B Kumar (RCB),2026-2026,RCB,16,4,4,34,15*,-,26,130.76,0,0,0,3,1
